id,lon,lat,recycling:glass,recycling:plastic,recycling:paper
node/2592935380,10.7878372,45.3304741,,,
node/2592935381,10.7899395,45.3295906,,,
node/2592935383,10.7909903,45.3268231,yes,,no
node/2594566869,10.7862899,45.3312436,yes,,no
node/2594566872,10.7862308,45.3308326,,,
node/2594566874,10.7897532,45.3296512,,,
node/2594566875,10.7893009,45.3297819,,,
node/2594566877,10.7899636,45.3297527,,,
node/2594566880,10.7904014,45.3296428,,,
node/2594566881,10.7904934,45.3296291,,,
node/2594566882,10.7906562,45.3295993,,,
node/2594566885,10.7908385,45.3295669,yes,,no
node/2594577979,10.7907722,45.331294,,,
node/2594577992,10.7910491,45.3311801,,,
node/2594577996,10.7903375,45.3299929,,,
node/2594577999,10.7904259,45.3283966,yes,,
node/2594578005,10.790883,45.3285984,,,
node/2594578006,10.7908938,45.3285315,,,
node/2594578012,10.7909704,45.3268615,,,
node/2594578021,10.789868,45.3262231,,,
node/2594578022,10.7899888,45.3263672,,,
node/2594578023,10.7885058,45.3264291,yes,,
node/2594578024,10.7884468,45.3264407,,,
node/2594578025,10.7881976,45.3264865,,,
node/2594578029,10.7877213,45.3265571,,,
node/2594578032,10.7971859,45.3287396,yes,,no
node/2594578040,10.7895846,45.3290343,yes,,
node/2594587729,10.7931365,45.3292292,yes,,
node/2594587735,10.7868867,45.3288438,,,
node/2599664935,10.8370601,45.3460706,,,
node/2599664941,10.8368376,45.3460856,,,
node/2791918747,10.8526051,45.3513139,,,
node/2791918751,10.8509216,45.3507387,yes,,
node/2824878744,10.7879442,45.330464,,,
node/3356431415,10.8365157,45.3568192,yes,,
node/3474634652,10.8001561,45.3260935,,,
node/3474634653,10.8009276,45.3266691,,,
node/4273077545,10.8411701,45.3487341,,,
node/4273077556,10.843557,45.3490243,,,
node/4312727861,10.7899621,45.3262592,,,
node/4697121553,10.9158216,45.390299,,,
node/5985533270,10.9195498,45.3803813,yes,,
node/7669091728,10.8641872,45.3406187,,,
node/7669091734,10.8095722,45.3514219,,,
node/7883465398,10.9157673,45.3885294,no,,
node/9152387753,10.9056942,45.3879181,,,
node/9152387765,10.83755,45.3468163,no,,
